ROUND 1 SCENARIOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Sector No. 
(1 - Changi & East Coast)","Subsector
1A (Changi) / 1B (East Coast)",Measure,Height Built To,Costs,Scenario Triggered,"Mean Sea level rise
(Round 1 = 0.3m)",Randomised Effect for the Round,Sub sea level rise (m),"Trigger Storm Surge =1 / =0
+0.5m of water wave",Final sea level (m),Score Effect ,,,Cut Scene to Display
1,1A ,None,/,0,"Changi flooded! 
Flights cancelled causing huge disruption to Singapore as an aviation hub ",0.3,1x,0.3,Yes,0.8,-50,,,
1,1A ,None,/,0,"Changi flooded! 
Flights cancelled causing huge disruption to Singapore as an aviation hub ",0.3,1x,0.3,No,0.3,-30,0,1A,R1_1A_0
1,1A ,None,/,0,"Changi flooded! 
Flights cancelled causing huge disruption to Singapore as an aviation hub ",0.3,0.5x,0.2,Yes,0.7,-40,,,
1,1A ,None,/,0,"Changi flooded! 
Flights cancelled causing huge disruption to Singapore as an aviation hub ",0.3,0.5x,0.2,No,0.2,-20,0,1A,R1_1A_0
1,1A ,None,/,0,"Changi flooded! 
Flights cancelled causing huge disruption to Singapore as an aviation hub ",0.3,2x,0.6,No,0.6,-60,0,1A,R1_1A_0
1,1A ,Mangrove,/,1,Mangroves are minimally helpful in protecting against rising sea levels and it blocks Changi industrial waterfront activities ,0.3,1x,0.3,No,0.3,-30,1,1A,R1_1A_1
1,1A ,Mangrove,/,1,Mangroves are minimally helpful in protecting against rising sea levels and it blocks Changi industrial waterfront activities ,0.3,0.5,0.2,No,0.2,-20,1,1A,R1_1A_1
1,1A ,Mangrove,/,1,Mangroves are minimally helpful in protecting against rising sea levels and it blocks Changi industrial waterfront activities ,0.3,2x,0.6,No,0.6,-60,1,1A,R1_1A_1
1,1A ,Land Reclamation,0.5,,Changi is protected with new sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,0.5,,Changi is protected with new sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,0.5,,Changi is protected with new sloping embankment with slight flooding but business as usual,0.3,2x,0.6,No,0.6,-10,2,1A,R1_1A_2
1,1A ,Land Reclamation,1.15,,Changi is protected with new sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,1.15,,Changi is protected with new sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,1.15,,Changi is protected with new sloping embankment,0.3,2x,0.6,No,0.6,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,2,,Changi is protected with new sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,2,,Changi is protected with new sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1A,R1_1A_2
1,1A ,Land Reclamation,2,,Changi is protected with new sloping embankment,0.3,2x,0.6,No,0.6,No effect,2,1A,R1_1A_2
1,1A ,Seawall ,0.5,,Changi is protected with sea walls,0.3,1x,0.3,No,0.3,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,0.5,,Changi is protected with sea walls,0.3,0.5,0.2,No,0.2,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,0.5,,Changi is protected with sea walls with minimal flooding but business as usual,0.3,2x,0.6,No,0.6,-10,3,1A,R1_1A_3
1,1A ,Seawall ,1.15,,Changi is protected with sea walls,0.3,1x,0.3,No,0.3,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,1.15,,Changi is protected with sea walls,0.3,0.5,0.2,No,0.2,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,1.15,,Changi is protected with sea walls,0.3,2x,0.6,No,0.6,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,2,,Changi is protected with sea walls,0.3,1x,0.3,No,0.3,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,2,,Changi is protected with sea walls,0.3,0.5,0.2,No,0.2,No effect,3,1A,R1_1A_3
1,1A ,Seawall ,2,,Changi is protected with sea walls,0.3,2x,0.6,No,0.6,No effect,3,1A,R1_1A_3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Sector No. 
(1 - Changi & East Coast)","Subsector
1A (Changi) / 1B (East Coast)",Measure,Height Built To,Costs,Scenario Triggered,"Mean Sea level rise
(Round 1 = 0.3m)",Randomised Effect ,Sub sea level rise (m),"Trigger Storm Surge =1 / =0
+0.5m of water wave",Final sea level (m),Score Effect ,,,
1,1B,None,/,,"East Coast have been flooded causing damages to houses and buildings nearby
Citizens are asking, where are the coastal protection measures? Still hope if we start building soon",0.3,1x,0.3,No,0.3,-30,0,1B,R1_1B_0
1,1B,None,/,,"East Coast have been flooded causing damages to houses and buildings nearby
Citizens are asking, where are the coastal protection measures? Still hope if we start building soon",0.3,0.5x,0.2,No,0.2,-20,0,1B,R1_1B_0
1,1B,None,/,,"East Coast have been flooded causing damages to houses and buildings nearby
Citizens are asking, where are the coastal protection measures? Still hope if we start building soon",0.3,2x,0.6,No,0.6,-60,0,1B,R1_1B_0
1,1B,Mangrove,/,,"Newly grown mangroves are minimally effective, roads flooded causing jam on ECP",0.3,1x,0.3,No,0.3,-30,1,1B,R1_1B_0
1,1B,Mangrove,/,,"Newly grown mangroves are minimally effective, roads flooded causing jam on ECP",0.3,0.5,0.2,No,0.2,-20,1,1B,R1_1B_0
1,1B,Mangrove,/,,"Newly grown mangroves are minimally effective, roads flooded causing jam on ECP",0.3,2x,0.6,No,0.6,-60,1,1B,R1_1B_0
1,1B,Land Reclamation,0.5,,Residents are happy with their sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,0.5,,Residents are happy with their sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,0.5,,Residents are happy with their sloping embankment with some flooding in ECP,0.3,2x,0.6,No,0.6,-10,2,1B,R1_1B_2
1,1B,Land Reclamation,1.15,,Residents are happy with their sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,1.15,,Residents are happy with their sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,1.15,,Residents are happy with their sloping embankment,0.3,2x,0.6,No,0.6,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,2,,Residents are happy with their sloping embankment,0.3,1x,0.3,No,0.3,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,2,,Residents are happy with their sloping embankment,0.3,0.5,0.2,No,0.2,No effect,2,1B,R1_1B_2
1,1B,Land Reclamation,2,,Residents are happy with their sloping embankment,0.3,2x,0.6,No,0.6,No effect,2,1B,R1_1B_2
1,1B,Seawall ,0.5,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,1x,0.3,No,0.3,No effect,3,1B,R1_1B_3
1,1B,Seawall ,0.5,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,0.5,0.2,No,0.2,No effect,3,1B,R1_1B_3
1,1B,Seawall ,0.5,,"Residents are happy to be protected but are grumbling about the lack of sea view 
Minimal flooding but business as usual",0.3,2x,0.6,No,0.6,-10,3,1B,R1_1B_3
1,1B,Seawall ,1.15,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,1x,0.3,No,0.3,No effect,3,1B,R1_1B_3
1,1B,Seawall ,1.15,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,0.5,0.2,No,0.2,No effect,3,1B,R1_1B_3
1,1B,Seawall ,1.15,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,2x,0.6,No,0.6,No effect,3,1B,R1_1B_3
1,1B,Seawall ,2,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,1x,0.3,No,0.3,No effect,3,1B,R1_1B_3
1,1B,Seawall ,2,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,0.5,0.2,No,0.2,No effect,3,1B,R1_1B_3
1,1B,Seawall ,2,,Residents are happy to be protected but are grumbling about the lack of sea view and it blocks their access to the beach,0.3,2x,0.6,No,0.6,No effect,3,1B,R1_1B_3
