Sector,Subsector,Round 1 Measure,Round 2 Measure,randomizer,coins,score,cutscene
1,1A,None,None,1,0,115,R2-1A-0
1,1A,None,None,2,0,200,R2-1A-0
1,1A,None,r1 1a sw 0.5,1,1,65,R2-1A-0
1,1A,None,r1 1a sw 0.5,2,1,150,R1-1A-0
1,1A,None,r1 1a sw 1.15,1,2,0,R2-1A-1
1,1A,None,r1 1a sw 1.15,2,2,85,R1-1A-0
1,1A,None,r1 1a sw 2,1,3,0,R2-1A-1
1,1A,None,r1 1a sw 2,2,3,0,R2-1A-1
1,1A,None,r1 1a mg,1,1,115,R2-1A-2
1,1A,None,r1 1a mg,2,1,200,R2-1A-2
1,1A,None,r1 1a lr 0.5,1,3,65,R2-1A-0
1,1A,None,r1 1a lr 0.5,2,3,150,R2-1A-0
1,1A,None,r1 1a lr 1.15,1,4,0,R2-1A-3
1,1A,None,r1 1a lr 1.15,2,4,85,R2-1A-0
1,1A,None,r1 1a lr 2,1,5,0,R2-1A-3
1,1A,None,r1 1a lr 2,2,5,0,R2-1A-3
1,1A,r1 1a sw 0.5,None,1,0,65,R2-1A-4
1,1A,r1 1a sw 0.5,None,2,0,150,R2-1A-4
1,1A,r1 1a sw 0.5,r1 1a sw 1.15,1,1,0,R2-1A-1
1,1A,r1 1a sw 0.5,r1 1a sw 1.15,2,1,85,R2-1A-1
1,1A,r1 1a sw 0.5,r1 1a sw 2,1,2,0,R2-1A-1
1,1A,r1 1a sw 0.5,r1 1a sw 2,2,2,0,R2-1A-1
1,1A,r1 1a sw 0.5,r1 1a sw ug wp,1,1,75,R2-1A-5
1,1A,r1 1a sw 0.5,r1 1a sw ug wp,2,1,160,R2-1A-5
1,1A,r1 1a sw 1.15,None,1,0,0,R2-1A-1
1,1A,r1 1a sw 1.15,None,2,0,85,R2-1A-0
1,1A,r1 1a sw 1.15,r1 1a sw 2,1,1,0,R2-1A-1
1,1A,r1 1a sw 1.15,r1 1a sw 2,2,1,0,R2-1A-1
1,1A,r1 1a sw 1.15,r1 1a sw ug wp,1,1,10,R2-1A-6
1,1A,r1 1a sw 1.15,r1 1a sw ug wp,2,1,95,R2-1A-5
1,1A,r1 1a sw 2,None,1,0,0,R2-1A-1
1,1A,r1 1a sw 2,None,2,0,0,R2-1A-1
1,1A,r1 1a sw 2,r1 1a sw ug wp,1,1,10,R2-1A-6
1,1A,r1 1a sw 2,r1 1a sw ug wp,2,1,10,R2-1A-6
1,1A,r1 1a lr 0.5,None,1,0,65,R2-1A-0
1,1A,r1 1a lr 0.5,None,2,0,150,R2-1A-0
1,1A,r1 1a lr 1.15,None,1,0,0,R2-1A-3
1,1A,r1 1a lr 1.15,None,2,0,85,R2-1A-0
1,1A,r1 1a lr 2,None,1,0,0,R2-1A-3
1,1A,r1 1a lr 2,None,2,0,0,R2-1A-3
1,1A,r1 1a lr 0.5,r1 1a lr ug sw 1.15,1,2,0,R2-1A-7
1,1A,r1 1a lr 0.5,r1 1a lr ug sw 1.15,2,2,35,R2-1A-7
1,1A,r1 1a lr 0.5,r1 1a lr ug sw 2,1,3,0,R2-1A-7
1,1A,r1 1a lr 0.5,r1 1a lr ug sw 2,2,3,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 1.15,1,2,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 1.15,2,2,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 2,1,3,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 2,2,3,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 3,1,4,0,R2-1A-7
1,1A,r1 1a lr 1.15,r1 1a lr ug sw 3,2,4,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 1.15,1,2,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 1.15,2,2,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 2,1,3,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 2,2,3,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 3,1,4,0,R2-1A-7
1,1A,r1 1a lr 2,r1 1a lr ug sw 3,2,4,0,R2-1A-7
1,1A,r1 1a lr ug sw 1.15,r1 1a lr ug sw 2,1,3,0,R2-1A-7
1,1A,r1 1a lr ug sw 1.15,r1 1a lr ug sw 2,2,3,0,R2-1A-7
1,1A,r1 1a lr ug sw 2,r1 1a lr ug sw 3,1,4,0,R2-1A-7
1,1A,r1 1a lr ug sw 2,r1 1a lr ug sw 3,2,4,0,R2-1A-7
1,1A,None,r1 1a lr ug sw 3,1,4,0,R2-1A-6
1,1A,None,r1 1a lr ug sw 3,2,4,0,R2-1A-6
1,1A,r1 1a mg,None,1,0,115,R2-1A-2
1,1A,r1 1a mg,None,2,0,200,R2-1A-2
1,1A,r1 1a mg,r1 1a mg ug bw,1,0,115,R2-1A-8
1,1A,r1 1a mg,r1 1a mg ug bw,2,0,200,R2-1A-8
1,1B,None,None,1,0,115,R2-1B-0
1,1B,None,None,2,0,200,R2-1B-0
1,1B,None,r1 1b sw 0.5,1,1,65,R2-1B-1
1,1B,None,r1 1b sw 0.5,2,1,150,R2-1B-1
1,1B,None,r1 1b sw 1.15,1,2,10,R2-1B-1
1,1B,None,r1 1b sw 1.15,2,2,85,R2-1B-1
1,1B,None,r1 1b sw 2,1,3,10,R2-1B-2
1,1B,None,r1 1b sw 2,2,3,10,R2-1B-2
1,1B,None,r1 1b mg,1,1,115,R2-1B-3
1,1B,None,r1 1b mg,2,1,200,R2-1B-3
1,1B,None,r1 1b lr 0.5,1,3,65,R2-1B-5
1,1B,None,r1 1b lr 0.5,2,3,150,R2-1B-5
1,1B,None,r1 1b lr 1.15,1,4,0,R2-1B-6
1,1B,None,r1 1b lr 1.15,2,4,85,R2-1B-6
1,1B,None,r1 1b lr 2,1,5,0,R2-1B-6
1,1B,None,r1 1b lr 2,2,5,0,R2-1B-6
1,1B,r1 1b sw 0.5,None,1,0,65,R2-1B-1
1,1B,r1 1b sw 0.5,None,2,0,150,R2-1B-1
1,1B,r1 1b sw 0.5,r1 1b sw 1.15,1,1,10,R2-1B-2
1,1B,r1 1b sw 0.5,r1 1b sw 1.15,2,1,10,R2-1B-2
1,1B,r1 1b sw 0.5,r1 1b sw 2,1,2,10,R2-1B-2
1,1B,r1 1b sw 0.5,r1 1b sw 2,2,2,10,R2-1B-2
1,1B,r1 1b sw 0.5,r1 1b sw ug wp,1,1,75,R2-1B-4
1,1B,r1 1b sw 0.5,r1 1b sw ug wp,2,1,160,R2-1B-4
1,1B,r1 1b sw 1.15,None,1,0,0,R2-1B-2
1,1B,r1 1b sw 1.15,None,2,0,10,R2-1B-2
1,1B,r1 1b sw 1.15,r1 1b sw 2,1,1,10,R2-1B-2
1,1B,r1 1b sw 1.15,r1 1b sw 2,2,1,10,R2-1B-2
1,1B,r1 1b sw 1.15,r1 1b sw ug wp,1,1,10,R2-1B-7
1,1B,r1 1b sw 1.15,r1 1b sw ug wp,2,1,85,R2-1B-7
1,1B,r1 1b sw 2,None,1,0,10,R2-1B-2
1,1B,r1 1b sw 2,None,2,0,10,R2-1B-2
1,1B,r1 1b sw 2,r1 1b sw ug wp,1,1,0,R2-1B-7
1,1B,r1 1b sw 2,r1 1b sw ug wp,2,1,0,R2-1B-7
1,1B,r1 1b lr 0.5,None,1,0,65,R2-1B-5
1,1B,r1 1b lr 0.5,None,2,0,150,R2-1B-5
1,1B,r1 1b lr 1.15,None,1,0,0,R2-1B-6
